1	11:07:46	node-0	1	6	60	0
1	11:07:46	node-1	1	3	60	0
1	11:07:46	node-2	2	2	60	0
1	11:07:46	node-12	4	3	60	0
1	11:07:46	node-13	4	3	60	0
1	11:07:46	node-24	1	8	60	0
1	11:07:46	node-25	2	2	60	0
1	11:07:46	node-36	4	1	60	0
1	11:07:46	node-37	4	1	60	0
1	11:07:46	node-44	4	1	60	0
1	11:07:46	node-45	3	1	60	0
1	11:07:46	node-52	4	6	60	0
1	11:07:46	node-54	3	5	60	0
1	11:07:46	node-56	3	3	60	0
1	11:07:46	node-58	5	1	60	0
2	11:10:18	node-0	3	8	60	0
2	11:10:18	node-1	4	4	60	0
2	11:10:18	node-2	3	3	60	0
2	11:10:18	node-12	6	3	60	0
2	11:10:18	node-13	4	4	60	0
2	11:10:18	node-24	3	8	60	0
2	11:10:18	node-25	4	5	60	0
2	11:10:18	node-36	6	2	60	0
2	11:10:18	node-37	4	3	60	0
2	11:10:18	node-44	4	2	60	0
2	11:10:18	node-45	4	3	60	0
2	11:10:18	node-52	5	8	60	0
2	11:10:18	node-54	4	5	60	0
2	11:10:18	node-56	4	3	60	0
2	11:10:18	node-58	7	4	60	0
3	11:12:49	node-0	4	8	60	0
3	11:12:49	node-1	5	5	60	0
3	11:12:49	node-2	3	5	60	0
3	11:12:49	node-12	6	3	60	0
3	11:12:49	node-13	4	4	60	0
3	11:12:49	node-24	4	8	60	0
3	11:12:49	node-25	5	5	60	0
3	11:12:49	node-36	8	2	60	0
3	11:12:49	node-37	4	5	60	0
3	11:12:49	node-44	4	2	60	0
3	11:12:49	node-45	4	4	60	0
3	11:12:49	node-52	5	8	60	0
3	11:12:49	node-54	4	5	60	0
3	11:12:49	node-56	6	3	60	0
3	11:12:49	node-58	6	5	60	0
4	11:15:20	node-0	4	8	60	0
4	11:15:20	node-1	5	5	60	0
4	11:15:20	node-2	4	5	60	0
4	11:15:20	node-12	6	3	60	0
4	11:15:20	node-13	4	4	60	0
4	11:15:20	node-24	5	8	60	0
4	11:15:20	node-25	4	5	60	0
4	11:15:20	node-36	8	4	60	0
4	11:15:20	node-37	5	5	60	0
4	11:15:20	node-44	4	2	60	0
4	11:15:20	node-45	4	4	60	0
4	11:15:20	node-52	5	9	60	0
4	11:15:20	node-54	4	5	60	0
4	11:15:20	node-56	6	3	60	0
4	11:15:20	node-58	7	5	60	0
5	11:17:52	node-0	4	8	60	0
5	11:17:52	node-1	5	5	60	0
5	11:17:52	node-2	4	5	60	0
5	11:17:52	node-12	6	4	60	0
5	11:17:52	node-13	4	4	60	0
5	11:17:52	node-24	5	8	60	0
5	11:17:52	node-25	5	5	60	0
5	11:17:52	node-36	8	4	60	0
5	11:17:52	node-37	5	5	60	0
5	11:17:52	node-44	4	2	60	0
5	11:17:52	node-45	4	4	60	0
5	11:17:52	node-52	5	9	60	0
5	11:17:52	node-54	5	5	60	0
5	11:17:52	node-56	6	4	60	0
5	11:17:52	node-58	7	5	60	0
6	11:20:23	node-0	4	8	60	0
6	11:20:23	node-1	5	5	60	0
6	11:20:23	node-2	4	5	60	0
6	11:20:23	node-12	6	4	60	0
6	11:20:23	node-13	4	4	60	0
6	11:20:23	node-24	5	8	60	0
6	11:20:23	node-25	5	5	60	0
6	11:20:23	node-36	8	4	60	0
6	11:20:23	node-37	5	5	60	0
6	11:20:23	node-44	4	2	60	0
6	11:20:23	node-45	4	4	60	0
6	11:20:23	node-52	5	9	60	0
6	11:20:23	node-54	5	5	60	0
